Franchise,Movie Title,Movie Revenue,Total Franchise Revenue,% of Total Franchise Revenue
Without a Paddle,Without a Paddle,69631118.0,65121280.0,106.92529078052519
Candyman,Candyman: Farewell to the Flesh,13940383.0,39471013.0,35.31802692776089
Candyman,Candyman,25792310.0,39471013.0,65.34494060236052
Sinister,Sinister,77712439.0,141832032.0,54.79188156875592
Sinister,Sinister 2,52882018.0,141832032.0,37.28496112923207
Butterfly Effect,The Butterfly Effect,96060858.0,95638592.0,100.44152260208934
Care Bears,The Care Bears Adventure in Wonderland,2608000.0,33474346.0,7.791040936244132
Street Fighter,Street Fighter,99423521.0,112083287.0,88.70503681784422
Street Fighter,Street Fighter: The Legend of Chun-Li,12764201.0,112083287.0,11.38813942885169
Hoodwinked,Hoodwinked!,51053787.0,133196501.0,38.32967579230929
Hoodwinked,Hoodwinked Too! Hood VS. Evil,13521829.0,133196501.0,10.151789948296013
Curious George,Curious George,69834815.0,73992733.0,94.38064005555789
Stomp the Yard,Stomp the Yard,75511123.0,75525718.0,99.98067545680267
White Noise,White Noise,91196419.0,100337927.0,90.88927958417958
Elizabeth,Elizabeth,82150642.0,157021508.0,52.31808243747093
Elizabeth,Elizabeth: The Golden Age,74237563.0,157021508.0,47.27859510813003
Lawnmower Man,Lawnmower Man 2: Beyond Cyberspace,2409225.0,34497118.0,6.983844273599899
Lawnmower Man,The Lawnmower Man,32101000.0,34497118.0,93.05415020466347
Lost Boys,The Lost Boys,32222567.0,32302907.0,99.75129173358917
Happy Feet,Happy Feet,384335608.0,157956466.0,243.31742646103515
Happy Feet,Happy Feet Two,150406466.0,157956466.0,95.22020200173382
House on Haunted Hill,House on Haunted Hill,40846082.0,65090541.0,62.75271548288407
Hot Tub Time Machine,Hot Tub Time Machine,64572262.0,78794394.0,81.95032504469798
Hot Tub Time Machine,Hot Tub Time Machine 2,12314651.0,78794394.0,15.628841564540746
The Sandlot,The Sandlot,32416586.0,32416586.0,100.0
Darkman,Darkman,48878502.0,32942739.0,148.3741288178861
House,House II: The Second Story,7800000.0,31683528.0,24.618470518813435
House,House on Haunted Hill,40846082.0,31683528.0,128.91898275974822
House,Big Momma's House,173959438.0,31683528.0,549.0532430605581
House,House Party,26386000.0,31683528.0,83.27986706530915
House,Road House,30050028.0,31683528.0,94.84432415481004
House,House of 1000 Corpses,16829545.0,31683528.0,53.11764838814668
House,House of the Dead,13818181.0,31683528.0,43.61313866309332
House,Big Momma's House 2,138259062.0,31683528.0,436.37521048792297
House,"Big Mommas: Like Father, Like Son",83615414.0,31683528.0,263.90815442017697
House,A Haunted House,60141683.0,31683528.0,189.8200320368363
House,House III: The Horror Show,1738897.0,31683528.0,5.488331349968349
Fright Night,Fright Night,24922237.0,27272526.0,91.38221006737697
Fright Night,Fright Night Part 2,2983784.0,27272526.0,10.940622075124248
Fright Night,Fright Night,24922237.0,27272526.0,91.38221006737697
Air Bud,Air Bud,23144499.0,39423158.0,58.707876725654494
Air Bud,Air Bud: Golden Receiver,10224116.0,39423158.0,25.934289688309597
Haunting in Connecticut,The Haunting in Connecticut,77527732.0,78758522.0,98.43726117663813
Boogeyman,Boogeyman,67192859.0,67192859.0,100.0
The Last Exorcism,The Last Exorcism,67738090.0,95614607.0,70.84491807825974
The Last Exorcism,The Last Exorcism Part II,15179302.0,95614607.0,15.87550529805556
A Haunted House,A Haunted House,60141683.0,81129419.0,74.13054813075884
The Thing,The Thing,19629760.0,41355916.0,47.46542187579644
The Thing,The Thing,28128670.0,41355916.0,68.0160729603958
Angel,Charlie's Angels,264105545.0,23111351.0,1142.7525158524918
Angel,Charlie's Angels: Full Throttle,259175788.0,23111351.0,1121.4220579316197
Angel,Cowgirls n' Angels,120680.0,23111351.0,0.5221676569232149
Super Troopers,Super Troopers,18492362.0,54621777.0,33.85529181886558
The Howling,The Howling,17985893.0,18095008.0,99.39698838486282
Wild Things,Wild Things,67200000.0,55576699.0,120.91398231478267
Return of the Living Dead,Return of the Living Dead Part II,9205924.0,23464804.0,39.2329038844731
Return of the Living Dead,The Return of the Living Dead,14237000.0,23464804.0,60.67385007775902
Return of the Living Dead,Return of the Living Dead 3,54207.0,23464804.0,0.2310140753785968
Lake Placid,Lake Placid,56870414.0,31770413.0,179.00432707626433
Johnny English,Johnny English,160583018.0,487186743.0,32.96128646915994
Johnny English,Johnny English Reborn,160078586.0,487186743.0,32.857746705968964
Tales from the Crypt,Bordello of Blood,5600000.0,26690431.0,20.981302250233426
Crank,Crank,42931041.0,79397662.0,54.07091332235954
Crank,Crank: High Voltage,34560577.0,79397662.0,43.528456795113186
Delta Force,The Delta Force,17768900.0,23160543.0,76.72056738911519
Delta Force,Delta Force 2: The Colombian Connection,6698361.0,23160543.0,28.921433318726596
Children of the Corn,Children of the Corn,14000000.0,21553340.0,64.9551299241788
Children of the Corn,Children of the Corn II: The Final Sacrifice,6980986.0,21553340.0,32.38934661634809
Dracula 2000,Dracula 2000,33000337.0,33000377.0,99.99987878926353
Prom Night,Prom Night,14796236.0,15707587.0,94.19802035793276
Prom Night,Hello Mary Lou: Prom Night II,2683519.0,15707587.0,17.08422178403341
Prom Night,Prom Night,14796236.0,15707587.0,94.19802035793276
The Art of War,The Art of War,30199105.0,30199105.0,100.0
Mimic,Mimic,25480490.0,25514166.0,99.86801057890742
Ninja,Teenage Mutant Ninja Turtles,202000000.0,17936413.0,1126.2006511558359
Ninja,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78000000.0,17936413.0,434.86955836710496
Ninja,Teenage Mutant Ninja Turtles III,42000000.0,17936413.0,234.16053142844112
Ninja,American Ninja,10499694.0,17936413.0,58.538426830381304
Ninja,Revenge of the Ninja,13168027.0,17936413.0,73.41505238533479
Ninja,Teenage Mutant Ninja Turtles,477200000.0,17936413.0,2660.509657086955
Ninja,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848.0,17936413.0,1369.4145423613963
Allan Quatermain,King Solomon's Mines,238227.0,18809164.0,1.266547519071023
Max,Mad Max,100000000.0,43730696.0,228.67232664213714
Max,Mad Max 2,24600832.0,43730696.0,56.255294907723396
Max,Mad Max Beyond Thunderdome,36230219.0,43730696.0,82.84848473484163
Max,Mad Max: Fury Road,378858340.0,43730696.0,866.3441807557784
Max,Max,43967255.0,43730696.0,100.54094496918138
Death Race,Death Race 2000,8000000.0,72516819.0,11.0319235045321
Death Race,Death Race,73762516.0,72516819.0,101.71780425172814
Honey,Honey I Blew Up the Kid,58662452.0,71536388.0,82.00365386074566
Honey,"Honey, I Shrunk the Kids",222724172.0,71536388.0,311.34388837188703
Honey,Honey,62646763.0,71536388.0,87.57328228537342
Open Water,Open Water,54667954.0,57005415.0,95.89958076789723
Joe Dirt,Joe Dirt,30987695.0,30987695.0,100.0
Sniper,Sniper,18994653.0,18994653.0,100.0
Clerks,Clerks,3151130.0,31236486.0,10.087978526137672
Clerks,Clerks II,26888376.0,31236486.0,86.08002833609389
Quarantine,Quarantine,40855419.0,41924774.0,97.44934820638508
Cirque du Soleil,Cirque du Soleil: Worlds Away,34153101.0,55773929.0,61.23488449235843
Machete,Machete,31327899.0,64643979.0,48.462207129916926
Machete,Machete Kills,15008161.0,64643979.0,23.216641723121654
Van Wilder,National Lampoon???s Van Wilder,38275483.0,43523216.0,87.94268098203037
Van Wilder,Van Wilder 2: The Rise of Taj,6086508.0,43523216.0,13.984508865337524
American Ninja,American Ninja,10499694.0,15759000.0,66.62665143727395
Dragon Ball Z,???????????????????????ª?????Z ???????????,50353002.0,220004898.0,22.88721862910525
Dragon Ball Z,???????????????????????ª?????Z ???????????????F???,61768190.0,220004898.0,28.075824930043147
Critters,Critters,13167232.0,16167232.0,81.44394785699866
Critters,Critters 2,3813293.0,16167232.0,23.586554581514015
Space Chimps,Space Chimps,63800345.0,72590156.0,87.89118045152019
Trainspotting,Trainspotting,16491080.0,113650233.0,14.510379402389786
Trainspotting,T2 Trainspotting,41412709.0,113650233.0,36.43873655762765
Tremors,Tremors,48572000.0,16667084.0,291.42470272544375
Kickboxer,Kickboxer,14697005.0,15920982.0,92.31217647253166
Kickboxer,Kickboxer 2:  The Road Back,1250712.0,15920982.0,7.855746586485683
Joy Ride,Joy Ride,36642838.0,22204890.0,165.02147950293832
Beastmaster,The Beastmaster,14056528.0,11524616.0,121.96959968123883
Beastmaster,Beastmaster 2: Through the Portal of Time,869325.0,11524616.0,7.54320143942323
Omega Code,The Omega Code,2400000.0,18726003.0,12.816402945145313
Cabin Fever,Cabin Fever,30553394.0,30351664.0,100.66464230758486
Never Back Down,Never Back Down,41627431.0,39319801.0,105.86887507390996
Center Stage,Center Stage,17200925.0,21395182.0,80.39625463340298
Alpha and Omega,Alpha and Omega,39300000.0,48958353.0,80.27230817997493
Pulse,Pulse,29907685.0,30241435.0,98.89638173585348
Bloodsport,Bloodsport II,684351.0,12490470.0,5.478985178299936
Bloodsport,Bloodsport,11806119.0,12490470.0,94.52101482170006
The Marine,The Marine,22165608.0,22165608.0,100.0
Dungeons & Dragons,Dungeons & Dragons,15185241.0,34681787.0,43.78448261619276
Vacancy,Vacancy,35300645.0,24363007.0,144.89445001596067
Leprechaun,Leprechaun,8556940.0,10750531.0,79.59551021247229
Leprechaun,Leprechaun 2,2260622.0,10750531.0,21.02800317491294
Wrong Turn,Wrong Turn,28650575.0,28649556.0,100.00355677414336
Waiting,Waiting...,18637690.0,18673274.0,99.80943888040201
Wolf Creek,Wolf Creek,27762648.0,29170393.0,95.17406227608932
Wolf Creek,Wolf Creek 2,9630444.0,29170393.0,33.014447217080686
Swan Princess,The Swan Princess,9771658.0,10115138.0,96.60429744013379
Swan Princess,The Swan Princess: Escape from Castle Mountain,273644.0,10115138.0,2.7052918111448405
Philadelphia Experiment,Philadelphia Experiment II,2970.0,8105330.0,0.03664255496074805
Happily N'Ever After,Happily N'Ever After,38085778.0,38711306.0,98.38412064940408
Smoke,Smokey and the Bandit II,66132626.0,15128284.0,437.1455876952072
Smoke,Smokey and the Bandit,126737428.0,15128284.0,837.7515123327934
Smoke,Smokey and the Bandit Part 3,5678950.0,15128284.0,37.53862632404309
Undisputed,Undisputed,12398628.0,12402560.0,99.96829686774343
Best of the Best,Best of the Best 2,6500000.0,7744652.0,83.92888408672204
The Collector,The Collector,114000000.0,19363930.0,588.7234667755977
The Collector,The Collection,6842058.0,19363930.0,35.33403601438344
What the Bleep,What the #$*! Do We (K)now!?,10000000.0,11077507.0,90.2730190105048
What the Bleep,What the Bleep! Down the Rabbit Hole,138913.0,11077507.0,1.2540095889806253
